Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,France,FRA,39500
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,French Polynesia,PYF,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Gabon,GAB,7030
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Gambia, The",GMB,740
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Georgia,GEO,4260
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Germany,DEU,47520
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Ghana,GHA,2310
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Gibraltar,GIB,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Greece,GRC,17950
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Greenland,GRL,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Grenada,GRD,8910
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Guam,GUM,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Guatemala,GTM,4490
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Guinea,GIN,960
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Guinea-Bissau,GNB,760
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Guyana,GUY,8220
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Haiti,HTI,1320
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Honduras,HND,2190
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Hong Kong SAR, China",HKG,48560
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Hungary,HUN,15950
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Iceland,ISL,62410
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,1910
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Indonesia,IDN,3870
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Iran, Islamic Rep.",IRN,3370
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Iraq,IRQ,4990
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Ireland,IRL,65750
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Isle of Man,IMN,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Israel,ISR,42610
